name,gender,province,school,Chinese,English,Math
周天,男,山东,山东省菏泽第一中学,78,79,98
池卓倪,男,重庆,重庆南开中学,89,89,99
焦宇翔,男,北京,中国人民大学附属中学,66,88,79
叶皓天,男,广东,广州大学附属中学,89,67,89
胡云棚,男,湖北,华中师范大学第一附属中学,90,98,98
叶安宁,男,重庆,重庆市巴蜀中学校,98,99,99
叶奇,男,浙江,乐成寄宿中学,78,79,79
黄哲宇,男,浙江,浙江省苍南县嘉禾中学,79,89,89
洪昊,男,辽宁,大连育明高级中学,89,88,88
赵子瑜,男,浙江,绍兴市第一中学,88,67,98
宋嘉瑞,男,山西,山西大学附属中学校,67,98,99
黄柏贺,男,辽宁,东北育才学校,98,99,79
郭子棋,男,四川,成都市第七中学,99,68,89
张坤隆,男,广东,深圳中学,68,74,88
谭健翔,男,广东,华南师范大学附属中学,74,79,67
田翊,男,四川,成都市第七中学,83,89,98
刘易,男,湖南,湖南省长沙市第一中学,68,88,99
刘润声,男,广东,华南师范大学附属中学,91,67,98
陈伊一,男,湖南,雅礼中学,91,98,99
彭永坚,男,湖南,长郡中学,76,99,79
倪弘康,男,上海,华东师范大学第二附属中学,66,68,89
欧阳泽轩,男,浙江,浙江省温州中学,82,79,88
徐文波,男,浙江,浙江省温州中学,72,89,67
于惠施,女,北京,中国人民大学附属中学,99,88,98
李文杰,男,浙江,杭州学军中学,92,67,98
施奕成,男,湖北,华中师范大学第一附属中学,78,98,99
韩序舜,男,辽宁,大连育明高级中学,79,99,79
魏宇辰,男,北京,清华大学附属中学,89,68,89
陈宇轩,男,四川,四川省绵阳中学,88,74,88
徐中炜,男,浙江,乐成寄宿中学,67,83,67
谢卓凡,男,北京,清华大学附属中学,98,68,98
陈天择,男,湖南,湖南师范大学附属中学,99,91,99
陈昶侃,男,福建,福建省莆田第一中学,68,79,98
樊普,男,河北,邯郸市第一中学,74,89,99
邵约翰,男,浙江,乐成寄宿中学,83,88,79
刘予培,男,湖南,长郡中学,68,67,89
于凯旭,男,河北,河北衡水中学,91,98,88
孙孟越,男,上海,华东师范大学第二附属中学,91,99,67
程一宸,男,湖北,湖北省黄冈中学,76,68,98
杨舍,男,北京,中国人民大学附属中学,66,74,99
姚睿,男,湖北,华中师范大学第一附属中学,82,83,68
于卓,男,吉林,东北师范大学附属中学,72,68,74
孔鼎问,男,北京,中国人民大学附属中学,99,91,79
